2025-03-30 05:11:49.196 [warning] Dir "/home/sandyaa2004/.pixi/envs" is not watchable (directory does not exist)
2025-03-30 05:11:49.196 [info] Python interpreter path: /bin/python
2025-03-30 05:11:49.206 [info] > pyenv which python
2025-03-30 05:11:49.208 [info] cwd: .
2025-03-30 05:12:03.677 [info] Starting Jedi language server for sandyaa2004.
2025-03-30 05:12:59.753 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/Try2/vertex_rag.py
2025-03-30 05:13:34.733 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/Try2/vertex_rag.py
2025-03-30 05:14:08.731 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/Try2/vertex_rag.py
2025-03-30 05:14:13.669 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/Try2/vertex_rag.py
2025-03-30 05:15:09.388 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/Try2/vertex_rag.py
2025-03-30 05:15:10.630 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/Try2/vertex_rag.py
2025-03-30 05:16:57.988 [info] CreateEnv Trigger - Skipping for /home/sandyaa2004/Try2/vertex_rag.py
2025-03-30 05:16:58.491 [info] Send text to terminal: /bin/python /home/sandyaa2004/Try2/vertex_rag.py
2025-03-30 05:40:54.042 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/Try2/sample.py
2025-03-30 05:42:45.807 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/Try2/new.py
2025-03-30 05:44:32.885 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/Try2/new.py
2025-03-30 05:45:22.651 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/Try2/new.py
2025-03-30 05:46:01.401 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/Try2/new.py
2025-03-30 05:46:58.581 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/Try2/new.py
2025-03-30 05:47:40.692 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/Try2/new.py
2025-03-30 05:48:19.663 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/Try2/new.py
2025-03-30 05:48:40.229 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/Try2/new.py
2025-03-30 05:49:23.267 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/Try2/new.py
2025-03-30 05:51:23.651 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/Try2/new.py
2025-03-30 05:52:55.323 [info] Discover tests for workspace name: sandyaa2004 - uri: /home/sandyaa2004/Try2/new.py
